subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,0,vaso,-1.6819407789046892,1.0,0.0,linear
sub-05,ses-01,1,vaso,-1.9285064965637755,1.0,0.0,linear
sub-05,ses-01,2,vaso,-1.902088741100294,1.0,0.0,linear
sub-05,ses-01,3,vaso,-1.6026875125142892,1.0,0.0,linear
sub-05,ses-01,4,vaso,-1.0831383217326573,1.0,0.0,linear
sub-05,ses-01,5,vaso,-0.7397075007075316,1.0,0.0,linear
sub-05,ses-01,6,vaso,-0.3698589242189021,1.0,0.0,linear
sub-05,ses-01,7,vaso,-0.36105300573108234,1.0,0.0,linear
sub-05,ses-01,8,vaso,-0.2729938208528404,1.0,0.0,linear
sub-05,ses-01,9,vaso,-0.34344116875544284,1.0,0.0,linear
sub-05,ses-01,10,vaso,-0.45791810909714403,1.0,0.0,linear
sub-05,ses-01,11,vaso,-0.39627667968238356,1.0,0.0,linear
sub-05,ses-01,12,vaso,-0.3698589242189021,1.0,0.0,linear
sub-05,ses-01,13,vaso,-0.3170234132919614,1.0,0.0,linear
sub-05,ses-01,14,vaso,-0.34344116875544284,1.0,0.0,linear
sub-05,ses-01,15,vaso,-0.2906056578285021,1.0,0.0,linear
sub-05,ses-01,0,vaso,-0.1585168805111392,1.0,355,linear
sub-05,ses-01,1,vaso,0.1232725110992372,1.0,355,linear
sub-05,ses-01,2,vaso,0.30819679934354083,1.0,355,linear
sub-05,ses-01,3,vaso,0.30819679934354083,1.0,355,linear
sub-05,ses-01,4,vaso,0.05282516319665698,1.0,355,linear
sub-05,ses-01,5,vaso,-0.2729938208528404,1.0,355,linear
sub-05,ses-01,6,vaso,-0.801348930122292,1.0,355,linear
sub-05,ses-01,7,vaso,-1.268062609976961,1.0,355,linear
sub-05,ses-01,8,vaso,-1.6907466973925311,1.0,355,linear
sub-05,ses-01,9,vaso,-1.858059148661173,1.0,355,linear
sub-05,ses-01,10,vaso,-2.1574603772472,1.0,355,linear
sub-05,ses-01,11,vaso,-1.9725360890028965,1.0,355,linear
sub-05,ses-01,12,vaso,-1.734776289831652,1.0,355,linear
sub-05,ses-01,13,vaso,-1.5410460830995287,1.0,355,linear
sub-05,ses-01,14,vaso,-1.268062609976961,1.0,355,linear
sub-05,ses-01,15,vaso,-1.2592566914891412,1.0,355,linear
sub-05,ses-01,0,vaso,-1.22403301753784,1.0,785,linear
sub-05,ses-01,1,vaso,-1.1623915881230795,1.0,785,linear
sub-05,ses-01,2,vaso,-1.3913454688065041,1.0,785,linear
sub-05,ses-01,3,vaso,-1.100750158708319,1.0,785,linear
sub-05,ses-01,4,vaso,-0.6780660712927489,1.0,785,linear
sub-05,ses-01,5,vaso,-0.5812009679266872,1.0,785,linear
sub-05,ses-01,6,vaso,-0.22896422841371944,1.0,785,linear
sub-05,ses-01,7,vaso,-0.36105300573108234,1.0,785,linear
sub-05,ses-01,8,vaso,-0.6340364788536279,1.0,785,linear
sub-05,ses-01,9,vaso,-0.8189607670979537,1.0,785,linear
sub-05,ses-01,10,vaso,-1.1535856696352598,1.0,785,linear
sub-05,ses-01,11,vaso,-1.0743324032448376,1.0,785,linear
sub-05,ses-01,12,vaso,-0.845378522561413,1.0,785,linear
sub-05,ses-01,13,vaso,-0.45791810909714403,1.0,785,linear
sub-05,ses-01,14,vaso,-0.07045769563289728,1.0,785,linear
sub-05,ses-01,15,vaso,0.15849618505053842,1.0,785,linear
sub-05,ses-01,0,vaso,-0.4050825981702033,1.0,.57,linear
sub-05,ses-01,1,vaso,-0.6076187233901464,1.0,.57,linear
sub-05,ses-01,2,vaso,-0.6956779082683884,1.0,.57,linear
sub-05,ses-01,3,vaso,-0.6076187233901464,1.0,.57,linear
sub-05,ses-01,4,vaso,-0.3346352502676231,1.0,.57,linear
sub-05,ses-01,5,vaso,-0.29941157631632187,1.0,.57,linear
sub-05,ses-01,6,vaso,-0.24657606538938115,1.0,.57,linear
sub-05,ses-01,7,vaso,-0.26418790236502065,1.0,.57,linear
sub-05,ses-01,8,vaso,-0.3082174948041416,1.0,.57,linear
sub-05,ses-01,9,vaso,-0.49314178304844525,1.0,.57,linear
sub-05,ses-01,10,vaso,-0.4843358645606255,1.0,.57,linear
sub-05,ses-01,11,vaso,-0.4315003536336848,1.0,.57,linear
sub-05,ses-01,12,vaso,-0.5107536200240848,1.0,.57,linear
sub-05,ses-01,13,vaso,-0.5812009679266872,1.0,.57,linear
sub-05,ses-01,14,vaso,-0.8189607670979537,1.0,.57,linear
sub-05,ses-01,15,vaso,-0.9686613813909561,1.0,.57,linear
sub-05,ses-01,0,bold,0.2516867416928692,1.0,0.0,linear
sub-05,ses-01,1,bold,0.34988591906162103,1.0,0.0,linear
sub-05,ses-01,2,bold,0.5647515817819082,1.0,0.0,linear
sub-05,ses-01,3,bold,0.9730842805122597,1.0,0.0,linear
sub-05,ses-01,4,bold,1.4145408808625248,1.0,0.0,linear
sub-05,ses-01,5,bold,1.794732919809583,1.0,0.0,linear
sub-05,ses-01,6,bold,2.038032374185894,1.0,0.0,linear
sub-05,ses-01,7,bold,1.9811647908738461,1.0,0.0,linear
sub-05,ses-01,8,bold,1.7695235787537067,1.0,0.0,linear
sub-05,ses-01,9,bold,1.4590969255193764,1.0,0.0,linear
sub-05,ses-01,10,bold,1.126392249956587,1.0,0.0,linear
sub-05,ses-01,11,bold,0.902146367308565,1.0,0.0,linear
sub-05,ses-01,12,bold,0.7590980134102088,1.0,0.0,linear
sub-05,ses-01,13,bold,0.7051617488255779,1.0,0.0,linear
sub-05,ses-01,14,bold,0.7350611998453216,1.0,0.0,linear
sub-05,ses-01,15,bold,0.8549521357970047,1.0,0.0,linear
sub-05,ses-01,0,bold,-0.42632727996060327,1.0,355,linear
sub-05,ses-01,1,bold,0.07111750808346251,1.0,355,linear
