subject,volume,modality,data,vessel,stimDur
sub-06,0,vaso,-2.7923767996892193,veins,1
sub-06,0,vaso,1.1034927196012851,arteries,1
sub-06,1,vaso,-2.7671671409895677,veins,1
sub-06,1,vaso,0.6695891623381024,arteries,1
sub-06,2,vaso,-2.659170081158905,veins,1
sub-06,2,vaso,0.1899595961407507,arteries,1
sub-06,3,vaso,-1.8662751748450517,veins,1
sub-06,3,vaso,-0.023604266238650036,arteries,1
sub-06,4,vaso,-0.880145515602486,veins,1
sub-06,4,vaso,-0.07038639728327695,arteries,1
sub-06,5,vaso,0.16619574727030392,veins,1
sub-06,5,vaso,0.04519760320185301,arteries,1
sub-06,6,vaso,1.0576691935635738,veins,1
sub-06,6,vaso,0.15959079350534192,arteries,1
sub-06,7,vaso,1.3710646348801172,veins,1
sub-06,7,vaso,0.4113581731489906,arteries,1
sub-06,8,vaso,1.3647023345376288,veins,1
sub-06,8,vaso,0.42994103383164683,arteries,1
sub-06,9,vaso,1.0411321359248646,veins,1
sub-06,9,vaso,0.5785586279113603,arteries,1
sub-06,10,vaso,0.40711181000314883,veins,1
sub-06,10,vaso,0.630389550094458,arteries,1
sub-06,11,vaso,-0.18377321589291323,veins,1
sub-06,11,vaso,0.8149531443178252,arteries,1
sub-06,12,vaso,-0.6479974712771207,veins,1
sub-06,12,vaso,1.060728087482966,arteries,1
sub-06,13,vaso,-1.1962203374486844,veins,1
sub-06,13,vaso,1.4353807494560202,arteries,1
sub-06,14,vaso,-1.3648918547038453,veins,1
sub-06,14,vaso,1.5541377305380684,arteries,1
sub-06,15,vaso,-1.6493051842532356,veins,1
sub-06,15,vaso,1.5943210802232042,arteries,1
sub-06,16,vaso,-1.760743497335924,veins,1
sub-06,16,vaso,1.3822088250388,arteries,1
sub-06,17,vaso,-1.794234777917419,veins,1
sub-06,17,vaso,1.286500251511135,arteries,1
sub-06,18,vaso,-1.9292009697137944,veins,1
sub-06,18,vaso,0.9299271356216361,arteries,1
sub-06,19,vaso,-2.0415125460395913,veins,1
sub-06,19,vaso,0.5377797688755566,arteries,1
sub-06,20,vaso,-2.1609098505324305,veins,1
sub-06,20,vaso,0.21687001767703545,arteries,1
sub-06,21,vaso,-2.1334923424024885,veins,1
sub-06,21,vaso,-0.18518207981850163,arteries,1
sub-06,22,vaso,-1.9492787330873647,veins,1
sub-06,22,vaso,-0.5928589411555206,arteries,1
sub-06,23,vaso,-1.6394177686620859,veins,1
sub-06,23,vaso,-0.7600607885764641,arteries,1
sub-06,24,vaso,-0.9947869395125746,veins,1
sub-06,24,vaso,-0.788014476712314,arteries,1
sub-06,25,vaso,-0.28278713445787196,veins,1
sub-06,25,vaso,-0.5553097108536481,arteries,1
sub-06,0,bold,-3.6480792459839124,veins,1
sub-06,0,bold,-1.9528944837623101,arteries,1
sub-06,1,bold,-3.663390829225534,veins,1
sub-06,1,bold,-2.058083826833703,arteries,1
sub-06,2,bold,-3.4829744030988423,veins,1
sub-06,2,bold,-2.03329074249827,arteries,1
sub-06,3,bold,-2.9059143112032264,veins,1
sub-06,3,bold,-1.720910198439185,arteries,1
sub-06,4,bold,-2.1118548366549303,veins,1
sub-06,4,bold,-1.2162718325242772,arteries,1
sub-06,5,bold,-1.1318262803040529,veins,1
sub-06,5,bold,-0.5779005628465617,arteries,1
sub-06,6,bold,-0.17234347625014823,veins,1
sub-06,6,bold,0.10590767124658103,arteries,1
sub-06,7,bold,0.43573172006224203,veins,1
sub-06,7,bold,0.5780549483181506,arteries,1
sub-06,8,bold,0.7745119377211083,veins,1
sub-06,8,bold,0.8389569401558917,arteries,1
sub-06,9,bold,0.7293662803947334,veins,1
sub-06,9,bold,0.8512287263017722,arteries,1
sub-06,10,bold,0.39594497894312264,veins,1
sub-06,10,bold,0.6376129923730363,arteries,1
sub-06,11,bold,-0.053662480022089835,veins,1
sub-06,11,bold,0.32428411577965416,arteries,1
sub-06,12,bold,-0.6088496379204602,veins,1
sub-06,12,bold,-0.041856593309217656,arteries,1
sub-06,13,bold,-1.1533978811059074,veins,1
sub-06,13,bold,-0.4033176522041165,arteries,1
sub-06,14,bold,-1.612411323094993,veins,1
sub-06,14,bold,-0.6771362258857542,arteries,1
sub-06,15,bold,-1.9661285055843274,veins,1
sub-06,15,bold,-0.8718827938455199,arteries,1
sub-06,16,bold,-2.1788831428402027,veins,1
sub-06,16,bold,-0.9734628729101974,arteries,1
sub-06,17,bold,-2.288106841612709,veins,1
sub-06,17,bold,-1.01059859644354,arteries,1
sub-06,18,bold,-2.3506916906306525,veins,1
sub-06,18,bold,-1.0504037703170066,arteries,1
sub-06,19,bold,-2.4496546265506383,veins,1
sub-06,19,bold,-1.1367625928709972,arteries,1
sub-06,20,bold,-2.53847291854664,veins,1
sub-06,20,bold,-1.2483472854636621,arteries,1
sub-06,21,bold,-2.576127942438925,veins,1
sub-06,21,bold,-1.372215724471257,arteries,1
sub-06,22,bold,-2.4993199837148623,veins,1
sub-06,22,bold,-1.4241534976152457,arteries,1
sub-06,23,bold,-2.155558434839901,veins,1
sub-06,23,bold,-1.3233570743906717,arteries,1
sub-06,24,bold,-1.5982519802649051,veins,1
sub-06,24,bold,-1.0990436602055378,arteries,1
sub-06,25,bold,-0.8752114581527528,veins,1
sub-06,25,bold,-0.7671084222218594,arteries,1
sub-06,0,vaso,-1.8338846887902742,veins,2
sub-06,0,vaso,-0.5729954070184106,arteries,2
sub-06,1,vaso,-2.4531999695037676,veins,2
sub-06,1,vaso,-0.6632954013649822,arteries,2
sub-06,2,vaso,-2.779434807315974,veins,2
sub-06,2,vaso,-0.42436314926664365,arteries,2
sub-06,3,vaso,-2.7352881692182542,veins,2
sub-06,3,vaso,-0.2733255718476274,arteries,2
sub-06,4,vaso,-2.303568676959179,veins,2
sub-06,4,vaso,-0.48092674592363016,arteries,2
sub-06,5,vaso,-1.5663561505628127,veins,2
sub-06,5,vaso,-0.6146290354017184,arteries,2
sub-06,6,vaso,-0.5902803749140416,veins,2
sub-06,6,vaso,-0.6067106348485589,arteries,2
sub-06,7,vaso,0.38742104960561063,veins,2
sub-06,7,vaso,-0.7052378356144102,arteries,2
sub-06,8,vaso,1.148434707873206,veins,2
sub-06,8,vaso,-0.874106981764505,arteries,2
sub-06,9,vaso,1.657212249148155,veins,2
sub-06,9,vaso,-1.105028115301026,arteries,2
sub-06,10,vaso,1.6567511658174272,veins,2
sub-06,10,vaso,-1.3355263244641338,arteries,2
sub-06,11,vaso,1.2633798295516332,veins,2
sub-06,11,vaso,-1.0546237016830948,arteries,2
sub-06,12,vaso,0.7362460178855698,veins,2
sub-06,12,vaso,1.1817035240766542,arteries,2
sub-06,13,vaso,0.027897191736828097,veins,2
sub-06,13,vaso,1.1258534854502105,arteries,2
sub-06,14,vaso,-0.6219960579188945,veins,2
sub-06,14,vaso,1.3922342106280656,arteries,2
sub-06,15,vaso,-1.0706525503080309,veins,2
sub-06,15,vaso,0.5607315339594384,arteries,2
sub-06,16,vaso,-1.326152983006324,veins,2
sub-06,16,vaso,0.8134603307456845,arteries,2
sub-06,17,vaso,-1.4819006007828888,veins,2
sub-06,17,vaso,1.5766982782460146,arteries,2
sub-06,18,vaso,-1.554498801919573,veins,2
sub-06,18,vaso,1.1620296093614007,arteries,2
sub-06,19,vaso,-1.6829096709180877,veins,2
sub-06,19,vaso,1.7155306994006871,arteries,2
sub-06,20,vaso,-1.7393837163320656,veins,2
sub-06,20,vaso,1.510407561093909,arteries,2
sub-06,21,vaso,-1.5322859759064449,veins,2
sub-06,21,vaso,1.175178446246145,arteries,2
sub-06,22,vaso,-1.4567524064138397,veins,2
sub-06,22,vaso,0.21315537393730738,arteries,2
sub-06,23,vaso,-1.3326064058828384,veins,2
sub-06,23,vaso,0.41793982684187186,arteries,2
sub-06,24,vaso,-1.2283444993134467,veins,2
sub-06,24,vaso,0.6412533148124242,arteries,2
sub-06,25,vaso,-1.144847479049916,veins,2
sub-06,25,vaso,0.9466458806285009,arteries,2
sub-06,26,vaso,-1.2419320935634701,veins,2
sub-06,26,vaso,0.6555086080873718,arteries,2
sub-06,27,vaso,-1.3484873274070897,veins,2
sub-06,27,vaso,0.4615887865176834,arteries,2
sub-06,28,vaso,-1.255690919631746,veins,2
sub-06,28,vaso,0.35962431640306264,arteries,2
sub-06,29,vaso,-1.035038886126025,veins,2
sub-06,29,vaso,0.4958523981818056,arteries,2
sub-06,0,bold,-2.8177129897080087,veins,2
sub-06,0,bold,-1.6061046806490629,arteries,2
sub-06,1,bold,-3.0877686069088552,veins,2
sub-06,1,bold,-1.7258637396196295,arteries,2
sub-06,2,bold,-3.245720605438493,veins,2
sub-06,2,bold,-1.8036194850357357,arteries,2
sub-06,3,bold,-3.1204982627794617,veins,2
sub-06,3,bold,-1.7583772591783768,arteries,2
sub-06,4,bold,-2.602549230272098,veins,2
sub-06,4,bold,-1.5163316635168118,arteries,2
sub-06,5,bold,-1.7481825584204245,veins,2
sub-06,5,bold,-1.0391934073857163,arteries,2
sub-06,6,bold,-0.6151862971024826,veins,2
sub-06,6,bold,-0.3525395190253413,arteries,2
sub-06,7,bold,0.5748082974509431,veins,2
sub-06,7,bold,0.45347424523375496,arteries,2
sub-06,8,bold,1.6470967348558885,veins,2
sub-06,8,bold,1.1955899659381684,arteries,2
sub-06,9,bold,2.422376012207245,veins,2
sub-06,9,bold,1.7271997096624743,arteries,2
sub-06,10,bold,2.729701096050588,veins,2
sub-06,10,bold,1.9165947556667633,arteries,2
sub-06,11,bold,2.5876505630660938,veins,2
sub-06,11,bold,1.7225139261794826,arteries,2
sub-06,12,bold,2.0161967096599542,veins,2
sub-06,12,bold,1.20016998926794,arteries,2
sub-06,13,bold,1.152510014090159,veins,2
sub-06,13,bold,0.5528180856504517,arteries,2
sub-06,14,bold,0.20999043856358054,veins,2
sub-06,14,bold,-0.060513581644697306,arteries,2
sub-06,15,bold,-0.7432486276606848,veins,2
sub-06,15,bold,-0.5406288351376707,arteries,2
sub-06,16,bold,-1.5430767214835326,veins,2
sub-06,16,bold,-0.825098411153801,arteries,2
sub-06,17,bold,-2.09456781280677,veins,2
sub-06,17,bold,-1.000197327715882,arteries,2
sub-06,18,bold,-2.415957713261343,veins,2
sub-06,18,bold,-1.1052531857654082,arteries,2
sub-06,19,bold,-2.4772160733063835,veins,2
sub-06,19,bold,-1.1774564026806627,arteries,2
sub-06,20,bold,-2.3434439631063726,veins,2
sub-06,20,bold,-1.258976083000179,arteries,2
sub-06,21,bold,-2.1494014717912213,veins,2
sub-06,21,bold,-1.2898485817803511,arteries,2
sub-06,22,bold,-1.973524952950905,veins,2
sub-06,22,bold,-1.2890027422519885,arteries,2
sub-06,23,bold,-1.897058028751074,veins,2
sub-06,23,bold,-1.289252417271182,arteries,2
sub-06,24,bold,-1.9890628747223729,veins,2
